trader,tokens_closed,gross_proceeds_usd,cost_of_sales_usd,realized_pnl
82LnxL7CQeco7AER6NMuKnkkeCK5CskKxn4r3u4PspZa,1,969.59,2857.84,-1888.24
tb1QmEVyhJVcF7by1z2dPGgcHHUJ5oTG96AAhVeeuiM,2,1675.08,2733.83,-1058.75
9XwdWLcndesej5CRXhYh3bz9q7LmLKu3iDbYGbm27TVq,1,2129.71,6759.24,-4629.52
4J8fG8CejrWgrBLScVnbbQq5hXksRAbZhbgfuPDkmsC2,1,445.3,510.84,-65.54
G9gpahxhDik5PrLrGAzPf1AEEFMfeu26ExVbCaYtLCwT,4,2401.12,1988.16,412.95
5xyyvXvhTr9TFWkTxrKcyt4Nz3iDyPAybK3RTuAXCGoD,1,382.57,213.37,169.2
Du46XaNvXyguWmSrVmL8vh293GXzoSZCHsUEMNBtQn8Q,1,1686.6,1639.73,46.88
7xkqiEWM7JGRNpTEStnmCKGQEk5deyErTeZ51mB7hdmN,1,85.66,74.13,11.53
Chq2cgE6M6mD56n9c8Vhoy8xPDbXbuUTLKa1CY167Azo,1,191.45,174.16,17.29
98hxM9XwZZgUFG56ncNnjtH862EJhG8Pmx7k26AyoCWd,2,1102.68,753.91,348.78
X6FUxVPCPi8FZ5AZ8SLADKS5TuLfbRSg7aU4goAC6TG,2,604.34,758.57,-154.22
BFGG73Z4R8S7ZQjMwnyhGzCAeFLxSqR3g78mbtUqD6GB,4,2988.9,3559.67,-570.78
EsVUNH97GY3shS91QczJSE6Qa1QmY1joj9WtzfbSjT18,5,1223.55,1549.16,-325.61
BujnPR3Rn14GJfh4d74yGikXXJ1sg6TgBPcCa7gZxmBa,1,69.13,81.62,-12.49
2mBCQgyFpZwjTC7FHzpCP8vdZbMqTDUgpQwFveSemtno,1,665.21,640.35,24.86
AcHyDDrhvu9URzCPisM9eJ56sPPu4M9tSyHDdBmnjgoV,1,783.37,486.95,296.42
B3idqhiNpkBZG2YW3sBwLniKrTS2sETZ28paHC6ZEDtC,1,83.47,68.48,14.99
78fSWMnM1Zr4CoWHGzaC1pJvymtXEivGATJerT4jUzco,1,24.76,70.88,-46.12
3pKHAXvPNvWPXvTaUqF1kFqa8eXfrgtNmXLrPiHCyKiT,1,9.45,18.04,-8.59
9hBto7QSQXafJWzmaYvU1tPm7an36Et4x482BGzbrXnw,1,337.93,254.65,83.28
AfXXKzNN7rLP6DkD1oM8sq634PkSE1VmDwFZxFar4Ew8,1,4.78,4.88,-0.11
AoetWxtjPHzvFxo2bJ556MC4Sr3yqAQJ55uTNNyX9MpA,1,1416.28,1500.0,-83.72
3s8XRHru2HCPY1EiM29quyP6QQbrtEM8Sg48HPnBPQLQ,1,164.52,300.0,-135.48
2J6pX1BG5tXMZF1xLqcYKjC6CaTFWWo5nGQQ1C874vSv,1,259.53,221.41,38.12
98ewLHSKoxMu9g9NguMykjgUFz2rc8WsrscXB67BMubh,1,640.94,215.36,425.57
FXmwXtSHqYXDLUEkQb3XhcUGzZTfuJSJmDhj931jq2vW,6,10483.37,13811.01,-3327.64
Cw3AJZohLhUQh2u3YztM85vsNeamkz7WF68DU2cErUns,3,1127.59,1001.51,126.08
ARcHqGKuYPrpniqRsUTS6BQhTwZwb3Yz24XugJggPnEv,1,22.27,25.26,-2.99
8paSvMTYDg6S56bL9YFMP1xkjmaCcNYrGC4raxcbDFEJ,1,61.54,71.51,-9.97
XJMCEpPKxJ6MhhCzWAmvMivoTP2H3pkHX5vRsVfeTsS,1,21.94,41.18,-19.23
GGym2QdUmUSuCpoeexLTzq6781YYgdGHxF7yupYxMVL6,2,1157.47,1181.0,-23.53
DDRQpJPSTq1HbWkmsf1vtxhw5Hfk72kLb4ExhVZLZfWd,2,1361.09,1536.96,-175.88
AxtZoNYhAxvpv416hW7yzpTdcJeY45t8JyGUYMJXL9G,8,5011.27,15204.81,-10193.54
6hkNRYJgBHNUuWVYYfW5qAYviNwaDmjEirUNLYS9TAgj,6,6050.66,6047.04,3.62
Dv8NapGWHFPTzUNg2GUcCkYqMvEm6Jzqwh4cHsRsiMEw,1,2730.48,1993.98,736.5
5NV9RRHPBixjLDMR9kVCh8JBdVytYZ5XYpvm7ExJFYcv,1,51.79,139.26,-87.48
HdcM4LkgtP7MsgFW7okEmu6T29arnEeAJLHqDFoTaJxh,1,303.25,209.49,93.75
A2vnY2QgMZZYY7KtWWZ62gDmbQqBmsRtom5nkX5Z8wQC,4,615.57,594.97,20.6
E7bCE6aWa5ujax7iCjUmtT9ijZq6avwH2RsPhwsNb2qL,1,13.27,9.85,3.41
5WztHvoVLfVfL4WD3ABYEZaLrDMfXammczPoRusSEk8g,1,301.14,270.77,30.38
ErpVZTsdqcudbYksYCQta8s99tzQkjjypPd82KSzFQbq,1,97.27,72.46,24.81
91SWK7frfWsRnRTEgs7D8pxozZbAc6ZANCzaqmWGofR2,1,96.09,126.05,-29.96
EvkHXjX7vqDe2F4Bzg72Hyo5A3KzZUGWz8ooMjVJvYbj,5,3173.7,3636.67,-462.97
AznnEvts3TZ1C5kq6GX9rKE9YXfmz8JdS6brzHYabZyu,1,2108.79,1552.41,556.38
AuPPMJwmSb1qdbfgyTojSD6stJmTscD5bn2e98DbScNu,9,2638.4,3322.52,-684.12
FyeB4NJQ7GCEscpjvqTecZDt5hAonnqyEfvemTAoGdas,4,2235.02,1856.06,378.96
PMhHDKKSJvCiUF9yh1rRiAPTYfGVgPASbnUCMA75Edq,1,3627.29,3457.24,170.05
2x2X2XCnRbfYjoCLn1EhMuTWbSY47GyGHGAEwHr7DwhB,1,642.88,405.03,237.85
JCfstVgX5du1bqJy339LHQU2D48FZM5ro9si5PFvcouX,8,11926.96,9254.97,2671.99
FFxNP866aC3y7YYJrnBYChbPXrpXTQUwcZoau8kn6dov,1,87.26,222.34,-135.08
94pYx137FQ4Dsv1govRScRp4xEdTTKKzfp7AE8uijmCb,1,310.79,214.59,96.2
6NT6nA4AMN6Xf2jdYbmXYDLzh7o1LCHWVNww4NpQ4woW,1,802.48,851.4,-48.92
2ugMoHmqES6x4eWYu3je1b2piy6RfK5Dbx9xrzM7RqdQ,3,1379.93,1624.11,-244.17
71s8dfB4ccVzaRvzyDtGGDDUMztqV45pRJcniS5wSQs7,1,297.56,251.53,46.03
AY51Abv8aYRKtHm4V3tfaBHrdZd6uhU3rzvNf9KXjiHu,1,14.92,19.03,-4.11
9LiKbhFMVY1csSKNSNeTXnC8LYa6Hm85rASx3h4GE3op,1,103.15,63.81,39.34
9iyNSAt56kgjmUmmFbcPAtuSD7Nys8nm4cZBM1zo7uqj,6,5129.85,4969.94,159.92
A2ahfR2qFFM2Z3cc7HA82TDCQysrugcwDfyzjFRDSsGD,1,84.3,67.67,16.64
F5UvmbPX9UAP76ScqPpNpyDYVsZ3YnygfM1gPodwpnqP,1,614.16,415.45,198.71
AjmmrnMkd4FHe7HZULcof2WZaR7x2ivdvNJwGcLJz2YS,3,21016.64,33391.6,-12374.96
53aQV1kifYj5AshHaxC62hLpwX5i7uwAB7t5dmTo1Qen,1,66.36,59.7,6.66
2qPJ8dWeTJ7v7D3KSnYYjm7fUrabHxxi1GcvadVKKLCf,1,360.46,482.53,-122.07
3wHGqA8X2FgANH716EC9uuyMSjCtv68BEU5Vsq2mKuPS,1,253.68,223.36,30.33
8vc9iShkgyykYahcdJorRQpEfE2GUnt1dM61m3Xdfzp,1,810.41,780.92,29.49
H48YLNt9UmQwhoED4utw8uqKKqi5h7u4a6WTuxeZpDtN,3,10789.52,10027.67,761.85
cUb4b81arH8zzNJQpNmpCtSUNjwtb9XVnbJiMdbHgmb,1,50.51,60.04,-9.53
FfzJWqv2jKYB2GH8ZAX3nzG1mgo9zzbY5LnDmyvSBJqm,1,54.08,116.39,-62.31
7EySdbRypzMuTnduADPAsjDdf4mrZFUnBwWVSzuXeHKy,1,2533.29,1112.07,1421.22
7Qa8DGFYcjwXn582mAktwdM8Ehak1mtZKmut5EpGE59,1,1599.85,2970.0,-1370.15
CvioTv2kYpKvRn2hbYQdEv5xpiWu6zZV6J17SGCt7NWY,1,263.28,285.0,-21.72
AdvynorinC29kjKyjSwyY3iErCJUHbktpnxGmc77mCoc,3,749.91,2061.62,-1311.71
2mWH7y4nFtJaxK9MFCeh5ba4W6JMTm54KGvfLhHMzEzy,1,201.42,226.81,-25.39
9FnSXFmroTgGPhP7cknuKxdaAM8oQTN5X1sDf9kVSVnh,1,308.42,158.01,150.42
FUzKCttu3xkttp1ZmkEXceVHgH71fbh7zsbthaBQeKbt,1,233.15,236.32,-3.17
U5V3oYYXSLF9U8gx7hTiYyZ6WmZLaUtm61skz2AJa8a,10,6939.35,6628.93,310.42
9YE4xux1teyq99YTgNufjZ1fURLp5B9ieDzWfs5oUxxs,1,130.94,148.72,-17.77
AdTuMoZPc49nYnd442F1AbvqP7SJUTxX3DUxkhmZxXPV,1,79.59,89.24,-9.65
HGekzxfgpBdJ69c7f3Z5UNJatgQhuj2KXdYwSZqprcN3,1,95.81,90.6,5.21
7pk37bpYtKvqmJhFW2sfAXPFhoZUZch9tRxvstjujCKF,4,1669.01,3753.24,-2084.23
FXPVAp6iUkdDkqneJCMkytzgpk5Grr5fcEQ5Lyd4Hdfz,2,4264.69,4831.58,-566.88
Rt34wxfXPf9ah1opTXTu6qSph1spJ3oWxATAhvhGfJd,1,436.67,108.0,328.67
CpzWku88ugXcPuC35CDXyQfF74BaL7sVLgyJKFU5m5WL,1,466.62,500.0,-33.38
DETR6N1dGU8UcTG5vSkmAgi8nSUzhxTPo9LxD3sBGL5x,1,80.43,68.42,12.02
Dw4kAH8LhdmgfW1cgyvnWSwSDqkt37jeY7pW4oFkbGTu,1,1143.55,1083.0,60.55
EQzKEoRW2QEt2Y98jrpioq6DojKSg54EimMYy958otsR,1,15923.59,15000.0,923.59
m4ZGojijKfUgbHixF1m9TWzCEZHj6nH82iHtqR5udwW,1,962.68,1000.0,-37.32
FwvVPtUekipk64qctWFHPpHzpnoqKwCce5XZosG2XRzg,9,8103.84,9065.66,-961.82
v1Adr5c6LZp79KGiu8P9Fokm4eqbDgCYVz9hbYbwiHJ,1,825.06,1000.0,-174.94
8sx2AYLFyoMhVT4sJoHg6wTLKrMSPLPjYpqRj4hgX4UW,1,232.49,223.4,9.09
5NTSdZzLs7N5eLbi4UjEPzUott3NgRSrYFNfKto6eNVw,1,630.36,230.32,400.04
HNkCjKkErePCeSqusfpJ5q19bX2C5wLdnjtg5H8FL6nr,1,512.4,245.58,266.82
9SYkFEDr45gRm6tqxbmStu2QNHfMr24ZgCenJb5cZgiB,1,8.42,7.63,0.79
D6S237aDZ8kwiJ8QG96WXf95Spt6rECfisctfxKxodAF,1,48.74,40.41,8.34
9hjMgPmrbETJh8C6URFHkQG3DAWgh1uWtwbyYe4UQ5KW,1,192.48,294.26,-101.78
5WfpWHfsYpJ56BjHieH38AXSn3RdbkAvJgdFNqFqefb7,2,9617.99,9657.22,-39.23
7SSXdzGoqby7RMNvUzKKbfVfXPY6XtwocsV6nYnkPbtu,1,127.12,225.18,-98.06
8MAvLFfGgBnrVuC6pnj51BVMqqZN5cAH9jAfs9TwTLjf,1,2.29,2.62,-0.33
FPi3UiLPfeSPKJRxGVsBhz82f2xJea21mJdWCJFG9bEp,1,30.27,70.53,-40.26
E2fRDK6us6yn3sZrSvGvcQ8CWFXKZqWFnzHCgL1kitBd,1,69.02,198.06,-129.04
7DhWfq2hwnSmgask6CKCiD967ye7VKro2KXHu1pkaZqX,1,12.29,8.27,4.01
2BsT3UsGQkXeqPaCbGnrYP3hydH1AFYQF1f3M5Lxxw6e,1,2.75,10.95,-8.2
2BEpUqELwxVcHSNUgDau7Dp4tFczTv9aJCv6YuSsbk1W,1,506.24,1026.3,-520.07
HjSkdzCcZtm77KU4R3tjmuCbjG1Jj6wiGFeZx4veAQ2o,1,29.15,44.89,-15.74
2ba3EG44nTKm1gUjRNuiEwSomPLCCqhqUiAQxHeSYG7a,2,1719.08,1785.74,-66.65
HBxA7PoxrcVLcfN5UkaA4Wm47ZiwbtH5RcLFhFmSHwiZ,2,447.45,517.87,-70.43
FDgQX1u3yr3sHkRkknQN4jK1o3f9u4RY1jhR4CuhFpqg,1,117.01,120.0,-2.99
GAWxgPcD1nVeNtwNpQQPhaXRaGoj9eNYUb8rmNCtXkxX,1,313.64,367.01,-53.37
36WTksCGHtxvcptThZtGSN4GuA3iuvQfmLCjfExFeGh4,2,587.78,706.85,-119.06
EycAPhXeN2GEwQ1gwnNb1RarHL6rhpEFw5Tj4PjD7aoc,3,734.96,626.21,108.75
8jqV7F4YteCWFLqFD6nEd5H2GQqjk2rE2B8Nsv3nLPM8,2,395.03,700.0,-304.97
3EQGPktj96EFN8sX6pchd7DFhjLMUM6VB3xe1UmjRdfR,1,237.21,199.06,38.15
GJMVoirkcGTJDSjobyEQ24QvoC7g7ujd8BUwqZsZgmkx,1,612.18,518.24,93.93
8ccHB3mkKN9GQqdptd8gaseapqa7KRx1oMg4i7wxrvMk,3,1935.92,1249.92,685.99
54sX6vfvdvUem8E9E6zFWo7S2vXTUTRpKo5ErLEbK1FU,1,448.91,459.57,-10.66
BL3feyukJwvqcsF8BX5Gy1RvHxL37ZY1xqMneDnD31x2,4,11725.1,15200.0,-3474.9
AyVDEtMhfarDej1BU9abzHkXdZCeSPp8uzPurdaRCxBY,1,1197.81,785.89,411.92
KqVovCTCVT9UeEZnMGwKtjpVrJd3JbGwxco9QuQsFnt,3,866.88,773.98,92.9
2VhXyDZfhJuxMz4cDAcWEqkA2g795FDScTda6wyYwR8L,1,194.34,540.02,-345.68
BcR8oZkiM458tmXLWE3Xia5mt3FuvDhXgLne82fmXmF1,1,296.52,300.0,-3.48
FeHG9CR1AcQmudM57JqF1ZuMJ2tYMxHJm4Ghd67TPPpE,2,638.17,468.62,169.55
BTDaFDqnqtBnppvCF6g7nPrkvuDRkRmDG6hV8HZ9HRC,9,3881.75,3061.3,820.45
9anGS9wMuxgonY7N2zThR9aEPQKMaEPkihq58LoAfvC1,1,9.98,31.03,-21.04
5sYeknEiX3EpUdreUK8c1K1pj6s9HCBKpj6AoK2UuD4b,1,843.75,212.36,631.39
CQVvK7zzicCokUseubw86fqWaYpXttMdUQ5Xmk2EC9L4,1,45.21,41.06,4.15
ETWGByzJh2cqv2e92iULDZiuYjEfionMS7E44Wyd2uio,2,446.56,323.16,123.4
CNzm2whDUHaMQcCSskvwnF6GpgZ5Uh6GDF8NkbJNBYZh,3,3308.78,2861.85,446.93
7RirtQfDyiDFcB8zS5U9PsB83RQLLw1GcSJg3h6TRLWv,1,324.45,175.33,149.12
A8hrxffeziVaxCzPnmC24QXFDXNQGzHQUHoJzg6n7tYj,1,140.73,125.83,14.9
4xXoxLnALg2uw3CDG51RhL6ypTcmYnPQq8MKNF1mBrD1,1,106.22,117.77,-11.54
AyxnM3X4TvakcEBaSya8PonUknb8s2VCgTpYkfTXKuJQ,1,111.02,296.8,-185.78
5AuoGfRAeuBQqtYHkuXu4HkuGJL1mEdhMbqLcvMcYc2G,1,100.9,136.1,-35.2
9LdNG43EnCTMuGcCVkFEmrR1uXkTZK3pUV4fnSCrgY4p,1,61.19,108.2,-47.0
9yGBZ5kq6ieLZQEqkbBasdUhRTkLz1ZSGQQZQM4MpVj7,1,246.66,383.64,-136.98
5d26NP7rBJA5meN4JBsnuKBNqE4t4TknBRQC5HCuY894,1,311.38,416.41,-105.02
FZ8ofuKKQbZ6QKRGYb75hD2Un56MKJzF6zErpcLn3Cma,9,63361.19,68039.22,-4678.03
FVeSJCEpyu2xW5RgTUGror3aLno15JJeQrGyArgnim4q,1,295.76,199.26,96.5
EwXoJmbsMtiThvoxqvPUUjMKPPpEQbgmkGBKkDEYry4k,1,1642.77,1659.14,-16.38
EHQwUSy3u8E7eG4VLrUUo7vNJwLD6zacTzxLLgstZnZQ,5,2498.06,2240.97,257.09
RJcv8qQNf5Bj8DejSd582bxkWzrfQ9GtXBxSMc5jZaH,1,2285.37,1996.97,288.4
BG9d91wsSf2AyUo4QvWzpwoMxNBaoJqW9MgWkmqg1pZ7,2,2207.08,2497.08,-290.0
5TU4wGiCsw4tBwZXfc7L3PgKXL8gfwtWgZ7tVTUnwXjF,3,784.5,967.89,-183.4
Go7gGuvFAvVCinek3PhyfJLkH7SCHSN3Frcvb1rFEP4e,1,177.54,300.0,-122.46
6UCcDmANZqSdS9YVwFP75G1fKUQrdRiLQCwvY8LM6v7P,2,864.49,547.78,316.71
8PjJw876jxhFw8ExG9AjENejhKmXCfpwFzfukv9vsPL1,1,2974.27,574.66,2399.61
F1Ph8YRA7SHztstjgtKEM54RfxiuKDZXVDLxUuy2KJRz,1,206.79,152.75,54.05
2vKFuzvcV9WuDh7LnS5azVDZvi4rvG9sH2TNHheErBRC,1,113.66,173.66,-60.0
ByRvLAjRZUyU8PxCQMQJ8hy3WCXHfnkdJJxryy9hotde,2,512.84,657.21,-144.37
FFdaHtJr5NFDLxE4KtLU2tyntuR99L8tcepiPH6coQ4P,1,75.55,237.09,-161.54
3SQG5uva2VNetiL4dUjdvaUvAGjXRrf5KtjB4vQ89LUC,2,1498.68,1497.36,1.32
GxyNSaoGpZVx6xZg2WwJYf4dnUMdY8rbmb3d6fiaTUJg,1,192.44,206.18,-13.74
7uPNWHjGwj3bkyotbKEp25HwrQjmUWXm8tU5CMhP1ozf,3,630.45,651.77,-21.32
Gna9sXBxnQ1s7wDE8fpkv1zJaQkdxhhDbmJRwfC7h6jY,1,185.58,355.05,-169.47
EaUXWz2h1nnFLmZHtLqZSH8ugmRyXixd4JfRnAh8uZiK,2,513.96,564.16,-50.2
A9nqqgJwN5f8bCYujc4UAapooeiPMw4cMCt81ffPv2AB,1,286.4,200.0,86.4
m1RCMcHc2xexyeNKMaqKAQJUWp4Hh3FN4szpq2BL1Uh,2,248.98,523.93,-274.95
5wnWvAwabDx4vYX4v9qazjB8dM1Bs4eNYpjADSJaR3nu,3,1668.61,1122.51,546.1
DJokT7Q567bxwrPYzrJsabepPrA7FCGhbVeszUZ6LGJx,1,444.16,401.41,42.75
HfkFwDQ1BNr5jbTZQD3Dn5xPEZV4gQHu2tvyjMaFZaiE,2,629.93,671.15,-41.22
5KWqnzMTFpTV6kfdZjjWvrC3vr6ju3rHNTFVmCRcZCRs,2,911.04,1105.33,-194.29
5FPBxUw6PRmiCKtGDR4n7qr3vkrf8A8D6BrYqUUUVBKC,2,224.44,102.17,122.27
sAafqJvxGx6JkB2WxyEFwkQx8q9wxMV2duVj4sWGueK,1,365.61,1227.69,-862.08
6hzdUCkrzgoJ5ugz2vWwKd56odxziZwyMEN7CCF7hSKy,1,2081.48,2180.67,-99.19
FqKPYMn6sTQaozWEPMyaaWAWkEY9WPTbhAao2DtxLjJr,1,14.93,13.89,1.04
5YG8yCH6WidsFW77zL5TVja7izH3mthma6koZDwAa1sH,1,102.13,700.0,-597.87
7rcESpuenhjdu8eJhEpA4EGGJxnNT4kDUEFFCEr3MMZE,1,514.04,492.08,21.96
88PMDK1gbY3W43Sbojaj8kheFnaLU2QfcGbjPWexMNkX,1,241.92,363.8,-121.88
CwXCqac6aDVstMKtqnSWq9Q6vt9pRdBJGGak8LyF4CKm,1,457.93,521.77,-63.84
tJg2tUfhjq3UKydwfdq12E4YtxQk5rphBXCYW7gLjh5,1,1055.03,561.28,493.75
FcUDgTQQYFE2bUb7Leik3Nn7noKgSVr4tSU3XQ493vW5,1,240.98,86.55,154.43
5YGa69BYM6Kb2wkwvGEe45U1996WbLNkXmtZdFpShHS4,2,1233.58,935.64,297.93
DxMPogoDefHHu5Sv72fvwjBWfMCmEJgsyWFX4k1c1jRh,1,492.74,283.6,209.14
289mV5xCZtVzvyCqQvciPm1uWf2n1bRULPKBDdxZ39zo,1,356.21,320.95,35.27
CshU1b3UUjGQV4iLMLKfCA77gK9qasWnN5bWFrmbnKjM,1,3191.96,1750.0,1441.96
5Pp7HMRZ7WHGqmJcJ5zaafp9gDbEEs3rATvaNQL9rFuv,2,703.86,715.2,-11.35
D9Hzdsy19RPKcCN54CwMZHffBu5o8gZZbLGBWFHkLjjv,1,849.55,870.0,-20.45
8b3rM5Eak1Sn9WBHoBTqEZsuPqVtkHa7a4oMqPkPCzF6,1,520.24,500.0,20.24
HGoTY3XGuXbhN3s8nhcYYMVfbS31gaQKjA3aGPZnoWnj,1,472.65,507.98,-35.34
8iTUpGpzY7EUvznxzV6micBVqxvWbL5WWR4iaQHpWtM5,1,780.08,805.42,-25.33
4RhgykZ8jXHfTeNXswxbDakvQg1smSQvVHNHk58rGaDw,1,453.66,910.2,-456.54
GoKS95mk1i6RrM1ktSEwtL2GmUiECfWyz1GekdQoRES6,1,279.5,306.57,-27.07
4sZXdRxnZb16gDUz6FEFZeJyXTm8kUA5SYdjRZV4PCDJ,3,874.52,879.16,-4.63
7bxjNnGs5meV66ELH1TZRmJJw3PV2BBWbPceSxDYExjj,1,284.71,239.1,45.61
9iEnqY2zj4aSBWuiRNviULZDwA7RhSkqiKyRKTCZJB2v,1,372.21,500.0,-127.79
7ZbYy6SCw2WorPeGuHsCCWixkkX1ceKHh84G8RXj9DN,2,1856.71,1800.0,56.71
8XmDS5q2jfqoLGRo4Ec7toep5yZCwTGQgJekYPHwtfAh,1,595.36,560.68,34.69
7wqePS4onkConJ4sfyCM3MbCEggi2wmvByKXgwKpQZdp,1,753.18,654.67,98.5
49NtWzsiyZNuKkZsyWdhvrvXyiWPBLC4DJYX7Qs5M9sg,2,734.16,497.87,236.29
HZAZ4qfe8EK16Cob35wWyPSNHBety4infFe1p3opwfXX,3,1497.69,1547.6,-49.92
3U3NjvkY4WGmozmwrhf74ZFkMcYNDEis5nJ7VBkghJ98,1,318.96,400.0,-81.04
4Jmq7WPHysS7sS2HGmpVsyEg3xBPTJ4jSLdPKByeGxNu,1,125.57,141.04,-15.47
766KXen63oBtkunFn6HbAwfRsAhwyTXAAAXWfSwJCUMt,1,374.82,340.0,34.82
445GE3x1TyYf2U8PgDdcogeMWrmpnx4D2XJeGH8ZVwPN,1,102.25,116.59,-14.34
9PnoKnMib5aAVuyZteuGzM4AByKgXtV9e43DNGdd6vG3,2,1561.97,3000.0,-1438.03
GdypPxXAeaZoddvpKBt7CS4JxBi8coATzAeVeDNB3ESD,1,123.07,112.27,10.81
CL8GzMFiwfd5CfWjBxv3tzfkC1acUv4wwhWyZ2riatrW,1,68.64,124.5,-55.86
DLJHzZxsVqMPbijYGecdg9bMCKAPsASjqWWq7Pn9NEPy,1,455.89,500.0,-44.11
9h2j3MDxDsoR1JqTVVsb8L7boa4pZLc5zjkDYS6xipUr,1,281.82,153.39,128.43
7QWATEkx4h7wNCDqaY22VSuLfo7sA2Y9N1VKrhr3UKdm,5,1137.55,1150.0,-12.45
BRDxkJ5khqTPLRkRDSWApQUR7odiQDhENKu9T4CkYYJn,1,526.02,337.62,188.4
J1MUvea61QVWWmS3sLPwFutWDXhinaibA22TRY3a2eXW,1,22.79,30.19,-7.4
HeHpgbuA2huRRtimGwsGMJe8oDYgwt2tXsdBhyhy4Uwb,1,130.61,200.0,-69.39
CSMmVbvEHBM7Wp9obK3svvEJwoTJGs8mGriD19ebZcfC,1,226.94,297.02,-70.08
BVqrZkU7Yy7eWoGhhqQ3ppAvgMnC8QfwfvtbGqB2sRkF,1,1126.72,649.82,476.9
FhwYAe3XiX6sENhiqMdBnc66LU3igsSwmvHzhkfwvWxE,1,8.73,9.59,-0.86
7isNzrKSRvjj4tXv9BkMyogUYjGB8Bdz1H1Za3HKBAU,1,676.24,683.19,-6.96
GUyY5Tanprqye6bsdQmA4cSu3uKL6tHPizYfGQ7igpe8,2,845.74,1046.99,-201.25
6k48TPdFvjMmQi4UsJjnCRQRM7WmAzrxLocZwLyyBVq8,2,318.04,338.3,-20.26
CxHdEbyjzK9xfwPvQVJwGG1y75QAPwbhCnpKcwD5XwYF,1,79.45,100.39,-20.94
YgbbDa9p7SHVX2syRpALTKVrNpndQGXVQQcxyqLemmK,1,139.67,160.0,-20.33
43sH7RQKw5YopeP8Y1iRYrUWo66XhcJUAAA25PHRL6YH,1,129.33,99.34,29.99
5PXJNrBGhWceNMXpcE8eM4ubdpbdpXctu51F9S9rkHrn,1,106.75,173.57,-66.81
3vWaaYKdBDLcn9ziMLt2MwPxLcbXgWgY72FGnF6Aoqtk,1,182.47,211.23,-28.76
8tGfTTCzKMXoMnFrpMnjmDHKVH8VJfhMJoK5yJ8rAqdL,1,413.85,353.37,60.48
GrC7Ld71Jd41imHdE3s3PR9d5bRvt6RuHrY3gh89x155,1,106.73,102.77,3.96
CYUYNhvsPC187VsWVtHVHyFmS5uis132YrEnYjWu7fLZ,1,65.69,39.47,26.22
HkErv35XUPeMNvZRcdxL6itYTtZywFdvHwCT8wgp7FLe,1,273.93,442.39,-168.46
BuXxAogBZoMgVVPZVCnGKxoE4Zp4QB8oqVgjXV32mL6G,1,1064.36,1212.18,-147.82
EBt2wDBrqzr4tdSnVyk57JMFNrfjs1oAtsrtEWt3EPar,1,983.11,707.41,275.7
CcPxuvtqXeefgnBnCKSKSLvdGdJ3kbWyb3LDevGX3PJg,1,32374.4,31849.72,524.69
672FsBAAXCnaFh24QmrFGKjXiB4DcASJHsh6F9Szduvc,1,499.71,504.11,-4.4
AiCqv3nV6W23HV3Uyr7nXu8Cq4o6SrfAfbqLfmGXZsPc,1,1005.83,340.65,665.18
4hjdqLHjF7RmYz3Dsd5beJUkbiLFkdc3ujZDmdzSJi9T,1,8528.27,6788.12,1740.15
AXUHGNoLNuTQhvJ2rzBqBZoUVAjoftAFbGC9z3ndjHut,1,197.42,60.2,137.22
E5YfVrDL1ZYqZNjUhtVt877xqSyR97f6TzvKyBEcsXCn,1,317.14,258.13,59.01
C3qQAsfYdopWuBYVi89RuFktG9Ry4hsKrknVp6TKkVBq,1,227.85,300.0,-72.15
FWoTA1sccHSiWdyjKSBpkB6osmEs13PeqRBGzEjCX5xD,1,4.87,2.89,1.99
6B29xTz6QYk3CaHT3MJaAgAoUq4smrxz2orQ6VdKGism,1,288.67,200.0,88.67
C3zK9wt2KSNbeWuwPNKKcTjVA2ST9VSTDFaMuuDquhGr,1,356.87,462.86,-106.0
4v3p97LEhB1AxfyP1UuzRefoLqPzeHUp4aRkJva2o7tQ,1,341.13,500.0,-158.87
3qMd5S3hzN7TpMKm6QhgmDUFtGG6Xz4LnwyhZj8jCniR,1,1439.2,951.22,487.98
78mSh6FP5d7wdwJJPDW9SkiaCv8bFLRYSou6BeMC8spR,1,2121.23,2015.11,106.13
A6kxnrMcT5McEDCecf5sKMEgg6vsz1pJpyFaSKLgCr6S,1,391.08,478.2,-87.12
9hw1HsTAeuTPrKZtU93bd2amt2185Vih83dZkBaVdWWP,1,121.12,180.73,-59.61
FTDoWomnpd7YksTRH8thp23Du38GisGAQH4n2B9BWuvd,1,283.3,250.0,33.3
9wuM2b9aZe59RkWpuxqgCFiDg92MgPzRj67KSc1PN8JA,1,138.87,327.66,-188.79
vnm6MYmEVDSKKZ24XT3gMJ1dtgvqjUeiVX8xmSvyCT2,1,184.46,195.72,-11.26
6JkgEWi1hLVAYbjhCrkKvL8rowUmYii4nisdyBMeLj15,1,255.56,301.54,-45.98
5bDDhhtP2GSZPTpcRfK5xxpBBQAKAE48w19uMGUEGph5,1,60.15,126.23,-66.08
78evLbexfMvVd378LTxhXn77tTFkoVXoLwQH5UJMF4KW,1,213.89,134.53,79.35
Ff4kEiQDyGKgb44rXE4m3XX4s2QF8YX7RyJqgyd8iLWm,5,2686.09,2805.63,-119.54
4eUe2zjVL2pphKpz4WjdW4NGjVWXNnt3Xc3CNz6cNHWc,1,1525.86,1818.46,-292.6
